,Title,lyrics
0,I Know I Can Lyrics,"I know I can Be what I wanna be If I work hard at it I'll be where I wanna beI know I can, I know I can Be what I wanna be, be what I wanna be If I work hard at it I'll be where I wanna be, I'll be where I wanna beBe b-boys and girls listen up You can be anything in the world, in God we trust An architect, doctor, maybe an actress But nothing comes easy it takes much practiceLike, I met a woman who's becomin a star She was very beautiful, leavi'n people in awe Singin' songs, Leena Hawn But the younger version hung with the wrong person   Related             15 Huge Stars Who Were Backup Singers First        Nicki Minaj Drops New Songs 'Barbie Tingz And 'Chun-Li'        Every Lyric From Cardi B's Debut Album 'Invasion of Privacy'            Got her strung on the sniffin' up drugs all in the nose Could have died so young, now looks ugly and old No fun 'cuz now when she reaches for hugs People hold their breath 'cuz she smells of corrosion and deathWatch the company you keep and the crowd you bring 'Cuz they came to do drugs and you came to sing So if you gonna be the best, I'ma tell you how Put your hands in the air and take a bowI know I can, I know I can Be what I wanna be, be what I wanna be If I work hard at it I'll be where I wanna be, I'll be where I wanna beI know I can, I know I can Be what I wanna be, be what I wanna be If I work hard at it I'll be where I wanna be, I'll be where I wanna be    Photos                                         Baby, boys and girls listen again This is for grown lookin' girls who only 10 The ones who watch videos and do what they see As cute as can beUp in the club with fake ID's Careful 'fore you meet a man with HIV You can host a TV like Oprah Winfrey Whatever you decideBe careful, some men be rapists, so act your age Don't pretend to be older than you are Give yourself time to grow You thinkin' he can give you wealthBut so young boys you can use a lotta help you know You thinkin' life's all about smokin' weed and ice You don't wanna be my age and can't read and write Beggin' different women for a place to sleep at nightSmart boys turn 'em in and do whatever they wish If you believe you can achieve Then say it like thisI know I can, I know I can Be what I wanna be, be what I wanna be If I work hard at it I'll be where I wanna be, I'll be where I wanna beI know I can, I know I can Be what I wanna be, be what I wanna be If I work hard at it I'll be where I wanna be, I'll be where I wanna beBaby, 'fore we came to this country we were kings and queens Never porch monkeys, there was empires and Africa called Kush Timbuktu where every race came to get books To learn from black teachers who taught Greeks and Romans Asian, Arabs and gave them goldWhen gold was converted to money it all changed Money then became empowerment for Europeans The Persian military invaded They heard about the gold, the teachings and everything sacredAfrica was almost robbed naked, savery was money So they began makin' slave ships Egypt was the place that Alexander the Great went He was shocked at the mountains with black facesShot up their nose to impose what basically Still goes on today you see If the truth is told the youth can grow Can learn to survive until they gain controlNobody says you hafta be gangstas Read more, learn more, change the globe Ghetto children do your thing Hold your head up little manYou're a king Young princess when you get your wedding ring Your man is sayin, ""She's my queen""I know I can, I know I can Be what I wanna be, be what I wanna be If I work hard at it I'll be where I wanna be, I'll be where I wanna beI know I can, I know I can Be what I wanna be, be what I wanna be If I work hard at it I'll be where I wanna be, I'll be where I wanna beSave the music ya'll Save the music ya'll Save the music ya'll Save the music ya'll Save the music"
1,I Can Lyrics,"I know I can Be what I wanna be If I work hard at it I'll be where I wanna beI know I can (I know I can) Be what I wanna be (Be what I wanna be) If I work hard at it (If I work hard at it) I'll be where I wanna be (I'll be where I wanna be)   Related             Match These Taylor Swift Songs to Her Ex-Boyfriends        Nicki Minaj Drops New Songs 'Barbie Tingz And 'Chun-Li'        Every Lyric From Cardi B's Debut Album 'Invasion of Privacy'            Be, b-boys and girls, listen up You can be anything in the world, in God we trust An architect, doctor, maybe an actress But nothing comes easy, it takes much practice Like, I met a woman who's becoming a star She was very beautiful, leaving people in awe Singing songs, Lina Horn, but the younger version Hung with the wrong person, got her strung on that heroinCocaine sniffing up drugs all in her nose Coulda died, so young, now looks ugly and old No fun 'cause now when she reaches for hugs people hold they breath 'Cause she smells of corrosion and death Watch the company you keep and the crowd you bring 'Cause they came to do drugs and you came to sing So if you gonna be the best, I'm a tell you how Put your hands in the air and take a vow    Photos                                         I know I can (I know I can) Be what I wanna be (Be what I wanna be) If I work hard at it (If I work hard at it) I'll be where I wanna be (I'll be where I wanna be)I know I can (I know I can) Be what I wanna be (Be what I wanna be) If I work hard at it (If I work hard at it) I'll be where I wanna be (I'll be where I wanna be)Be, b-boys and girls, listen again This is for grown looking girls who's only ten The ones who watch videos and do what they see As cute as can be, up in the club with fake ID Careful, 'fore you meet a man with HIV You can host the TV like Oprah Winfrey Whatever you decide, be careful, some men be Rapists, so act your age, don't pretend to beOlder than you are, give yourself time to grow You thinking he can give you wealth, but so Young boys, you can use a lot of help, you know You thinking life's all about smoking weed and ice You don't wanna be my age and can't read and write Begging different women for a place to sleep at night Smart boys turn to men and do whatever they wish If you believe you can achieve, then say it like thisI know I can (I know I can) Be what I wanna be (Be what I wanna be) If I work hard at it (If I work hard at it) I'll be where I wanna be (I'll be where I wanna be)I know I can (I know I can) Be what I wanna be (Be what I wanna be) If I work hard at it (If I work hard at it) I'll be where I wanna be (I'll be where I wanna be)Be, be'fore we came to this country We were kings and queens, never porch monkeys There was empires in Africa called Kush Timbuktu, where every race came to get books To learn from black teachers who taught Greeks and Romans Asian, Arabs and gave them gold when Gold was converted to money it all changed Money then became empowerment for EuropeansThe Persian military invaded They heard about the gold, the teachings and everything sacred Africa was almost robbed naked Slavery was money, so they began making slave ships Egypt was the place that Alexander the great went He was so shocked at the mountains with black faces Shot off they nose to impose what basically Still goes on today, you see?If the truth is told, the youth can grow Then learn to survive until they gain control Nobody says you have to be gangstas, hoes Read more, learn more, change the globe Ghetto children, do your thing Hold your head up, little man, you're a king Young princess, when you get your wedding ring Your man is saying ""She's my queen""I know I can (I know I can) Be what I wanna be (Be what I wanna be) If I work hard at it (If I work hard at it) I'll be where I wanna be (I'll be where I wanna be)I know I can (I know I can) Be what I wanna be (Be what I wanna be) If I work hard at it (If I work hard at it) I'll be where I wanna be (I'll be where I wanna be)Save the music y'all, save the music y'all Save the music y'all, save the music y'all Save the music"
2,N.y. State Of Mind Lyrics,"Yeah yeah, aiyyo black it's time (word?) (Word, it's time nigga?) Yeah, it's time man (aight nigga, begin) Straight out the fucking dungeons of rap Where fake niggas don't make it back I don't know how to start this shit, yoRappers, I monkey flip 'em with the funky rhythm I be kicking, musician, inflictin' composition Of pain, I'm like Scarface sniffin cocaine Holding an M-16, see with the pen I'm extreme, now Bullet holes left in my peepholes, I'm suited up in street clothes Hand me a nine and I'll defeat foes Y'all know my steelo with or without the airplay I keep some E&J;, sitting bent up in the stairway Or either on the corner betting Grants with the cee-lo champs Laughing at baseheads trying to sell some broken amps G-packs get off quick, forever niggas talk shit Reminiscing about the last time the Task Force flipped Niggas be running through the block shootin' Time to start the revolution, catch a body, head for Houston Once they caught us off-guard, the Mac-10 was in the grass and I ran like a cheetah with thoughts of an assassin Pick the Mac up, told brothers, ""Back up,"" the Mac spit Lead was hitting niggas, one ran, I made him backflip Heard a few chicks scream, my arm shook, couldn't look Gave another squeeze, heard it click, ""yo, my shit is stuck"" Try to cock it, it wouldn't shoot, now I'm in danger Finally pulled it back and saw 3 bullets caught up in the chamber So now I'm jetting to the building lobby And it was full of children probably couldn't see as high as I be (So what you saying?) It's like the game ain't the same Got younger niggas pulling the triggers, bringing fame to their name And claim some corners, crews without guns are goners In broad daylight, stickup kids: they run up on us 4-5's and gauges, Macs, in fact Same niggas will catch a back-to-back, snatching your cracks in black There was a snitch on the block getting niggas knocked So hold your stash 'til the coke price drop I know this crackhead who said she's got to smoke nice rock And if it's good, she'll bring you customers in measuring pots But yo, you gotta slide on a vacation, inside information Keeps large niggas erasin' and their wives basin' It drops deep as it does in my breath I never sleep, cause sleep is the cousin of death Beyond the walls of intelligence, life is defined I think of crime when I'm in a New York state of mind   Related             15 Huge Stars Who Were Backup Singers First        Nicki Minaj Drops New Songs 'Barbie Tingz And 'Chun-Li'        Every Lyric From Cardi B's Debut Album 'Invasion of Privacy'            New York state of mind New York state of mind New York state of mind New York state of mind New York state of mindBe having dreams that I'm a gangsta; drinking Moets, holding Tecs Making sure the cash came correct, then I stepped Investments in stocks, sewing up the blocks to sell rocks Winning gunfights with mega-cops But just a nigga walking with his finger on the trigger Make enough figures until my pockets get bigger I ain't the type of brother made for you to start testin' Give me a Smith & Wesson, I have niggas undressin' Thinking of cash flow, buddah and shelter Whenever frustrated, I'm a hijack Delta In the P.J.'s, my blend tape plays, bullets are strays Young bitches is grazed, each block is like a maze Full of black rats trapped, plus the Island is packed From what I hear in all the stories when my peoples come back, black I'm living where the nights is jet-black The fiends fight to get crack I just max, I dream I can sit back And lamp like Capone, with drug scripts sewn Or the legal luxury life, rings flooded with stones, homes I got so many rhymes I don't think I'm too sane Life is parallel to Hell but I must maintain And be prosperous, though we live dangerous, cops could just Arrest me, blaming us, we're held like hostages It's only right that I was born to use mics And the stuff that I write is even tougher than dykes I'm taking rappers to a new plateau, through rap slow My rhymin' is a vitamin held without a capsule The smooth criminal on beat breaks Never put me in your box if your shit eats tapes The city never sleeps, full of villains and creeps That's where I learned to do my hustle had to scuffle with freaks I'm an addict for sneakers, 20s of buddah and bitches with beepers In the streets I can greet ya, about blunts I teach ya Inhale deep like the words of my breath I never sleep, cause sleep is the cousin of death I lay puzzle as I backtrack to earlier times Nothing's equivalent to the New York state of mind    Photos                                         New York state of mind New York state of mind New York state of mind New York state of mind New York state of mindNasty Nas Nasty Nas Nasty Nas..."
3,If I Ruled The World Lyrics,"Life... I wonder... Will it take me under... I don't knowImagine smoking weed in the streets without cops harassing Imagine going to court with no trial Lifestyle cruising blue behind my waters No welfare supporters more conscious of the way we raise our daughters Days are shorter, nights are colder Feeling like life is over, these snakes strike like a cobra The world's hot my son got knocked evidentaly It's elementary, they want us all gone eventually Trooping out of state for a plate knowledge of coke was cooked without the garbage we'd all have the top dollars Imagine everybody flashing, fashion Designer clothes, lacing your click up with diamond vogues Your people holding dough, no parole No rubbers, go in raw imagine law with no undercovers Just some thoughts for the mind I take a glimpse into time watch the blimp read ""The World Is Mine""   Related             11 Delicious Misheard Lyrics About Food        Nicki Minaj Drops New Songs 'Barbie Tingz And 'Chun-Li'        Every Lyric From Cardi B's Debut Album 'Invasion of Privacy'            If I ruled the world Imagine that I'd free all my sons, I love em love em baby Black diamonds and pearls Could it be, if you could be mine, we'd both shine If I ruled the world Still living for today, in these last days and timesThe way to be, paradise like relaxing black, latino and anglo-saxon Armani exchange the reins Cash, Lost Tribe of Shabazz, free at last Brand new whips to crash then we laugh in the iller path The Villa house is for the crew, how we do Trees for breakfast, dime sexes and Benz stretches So many years of depression make me vision The better living, type of place to raise kids in Open they eyes to the lies history's told foul But I'm as wise as the old owl, plus the Gold Child Seeing things like I was controlling, click rolling Tricking six digits on kicks and still holding Trips to Paris, I civilized every savage Gimme one shot I turn trife life to lavish Political prisoner set free, stress free No work release purple M's and jet skis Feel the wind breeze in West Indies I make Coretta Scott-King mayor the cities and reverse themes to Willies It sounds foul but every girl I meet to go downtown I'd open every cell in Attica send em to Africa    Photos                                         If I ruled the world Imagine that I'd free all my sons, I love em love em baby Black diamonds and pearls Could it be, if you could be mine, we'd both shine If I ruled the world Still living for today, in these last days and timesAnd then we'll walk right up to the sun Hand in hand We'll walk right up to the sun We won't land We'll walk right up to the sun Hand in hand We'll walk right up to the sun We won't landYou'd love to hear the story how the thugs live in worry Duck down in car seats, heat's mandatory Running from Jake, gettin chased, hunger for papes These are the breaks many mistakes go down out of state Wait, I had to let it marinate we carry weight Trying to get laced, flip the ace stack the safe Millionaire plan to keep the gat with the cop camera Making moves in Atlanta, back and forth scrambler Cause you could have all the chips, be poor or rich Still nobody want a nigga having shit If I ruled the world and everything in it, sky's the limit I push a Q- Infinit It wouldn't be no such thing as jealousies or B Felonies Strictly living longevity to the destiny I thought I'd never see but reality struck Better find out before your time's out, what the fuck??If I ruled the world Imagine that I'd free all my sons, I love em em baby Black diamonds and pearls Could it be, if you could be mine, we'd both shine If I ruled the world Still living for today, in these last days and timesIf I ruled the world, if I ruled, if I ruled Imagine that I'd free all my sons, if I ruled, if I ruled I love em love em baby Black diamonds and pearls, black diamonds Could it be, if you could black diamonds be mine, we'd both shine If I ruled the world Still living for today, in these last days and timesIf I ruled the world, if I ruled if I ruled, I'd free all my sons black diamonds, I love em love em baby Black diamonds and pearls, if I ruled If I ruled the worldIf I ruled the world I love em love em baby!!"
4,Cherry Wine Lyrics,"Where is he? The man who was just like me I heard he was hiding somewhere I can't see Where is he? The man who was just like me Heard he was hiding somewhere I can't see And I'm alone, and I realize that when I get home I wanna go through my red and my cherry Yes I'm alone, and I realize when I get home I wanna go through my red and my cherry   Related             The 18 Greatest Revenge Songs of All Time        Nicki Minaj Drops New Songs 'Barbie Tingz And 'Chun-Li'        Every Lyric From Cardi B's Debut Album 'Invasion of Privacy'            I want some who like the champagne I like My a-alike, someone to talk me off the bridge any day or night She teach me how to live, she ain't afraid of life Not easily impressed with the rich and famous life Cause she done been there and heard all the rumors before She love or she ride out with me on my music tour She like the herbs, natural medicine, she cooking good She tell me everything is cool when it ain't looking good For real, the world so ill Yeah I want a girl so real Who not after material wealth, but get dough still Or maybe an educator, a lady with etiquette Who can be from out the hood Or even work for the president As long as there's no selfishness Yes, as long as her love for the people is deep rooted and evident You can be easily recruited, you're heaven sent Your smile, put me on ease You're the woman I need, but where is she    Photos                                         Where is he? The man who was just like me I heard he was hiding somewhere I can't see Where is he? The man who was just like me Heard he was hiding somewhere I can't see And I'm alone, and I realize that when I get home I wanna go through my red and my cherry Yes I'm alone, and I realize when I get home I wanna go through my red and my cherryI hate when people write me hostile texts On the count of my lifestyle's perception Invade my personal life, out of the question What are they expecting? I be tryna reply them And they never suppose I get my quiet time in They think forever I'm rolling in dough Swimming in a pool of cash God, wouldn't they know? Or am I a fool or ass I'm well known, got people coming at me mad I had to tell homes, I don't keep a cell phone, my bad I drag off the L and try to silence it The noise of my head, the curse of the talented Strong communicator, vagabond, I gallivant around the Equator And that would get me off the radar It's so intense, I'm on my Lilo and Stitch Pour my Pinot Grigio with some lime What is this? An immaculate version of me and my baby With all respect cause you the only one that gets meWhere is he? The man who was just like me I heard he was hiding somewhere I can't see Where is he? The man who was just like me Heard he was hiding somewhere I can't see And I'm alone, and I realize that when I get home I wanna go through my red and my cherry Yes I'm alone, and I realize when I get home I wanna go through my red and my cherryYeah, yeah, let's pour some cherry wine Everything's good, everything's fine Yeah, yeah we bring it every time Yeah, pour a little cherry wine Yeah, Hey yo Salaam, yea, I think they know the time Everything's good, everything's fine Yeah, pour a little cherry wine, yeah Life is good, life is good, yeah Life is good, no matter what Life is good, life is good Life if good, yeah No matter what Life is goodWhere is he? The man who was just like me I heard he was hiding somewhere I can't see Where is he? The man who was just like me Heard he was hiding somewhere I can't see And I'm alone, and I realize that when I get home I wanna go through my red and my cherry Yes I'm alone, and I realize when I get home I wanna go through my red and my cherryMan who was just like me I heard he is hiding somewhere I can't see And I'm alone And I realize that when I get home When I wanna go to my red and my cherry Yeah The man who was just like me Cause I know he was hiding somewhere I can't see And I'm alone And I realize when I get home That I wanna go to my red and my cherry(Life is good)"
5,Ether Lyrics,"[gunshots][Nas talking] (""Fuck Jay-Z"") What's up niggas, ay yo, I know you ain't talkin 'bout me dog You, what? (""Fuck Jay-Z"") You been on my dick nigga, you love my style, nigga (""Fuck Jay-Z"")[Chorus:] (I) Fuck with your soul like ether (Will) Teach you the king you know you (Not) ""God's son"" across the belly (Lose) I prove you lost already   Related             15 Huge Stars Who Were Backup Singers First        Nicki Minaj Drops New Songs 'Barbie Tingz And 'Chun-Li'        Every Lyric From Cardi B's Debut Album 'Invasion of Privacy'            Brace yourself for the main event Y'all impatiently waitin It's like an AIDS test, what's the results? Not positive, who's the best? Pac, Nas and Big Ain't no best, East, West, North, South, flossed out, greedy I embrace y'all with napalm Blows up, no guts, left chest, face gone How could Nas be garbage? Semi-autos at your cartilege Burner at the side of your dome, come outta my throne I got this, locked since '9-1 I am the truest, name a rapper that I ain't influenced Gave y'all chapters but now I keep my eyes on the Judas With Hawaiin Sophie fame, kept my name in his music Check it[Chorus]    Photos                                         [talking] Ay yo, pass me the weed, pour my ashes out on these niggas man (no doubt) Ay, y'all faggots, y'all kneel and kiss the fuckin ring[Chorus]I've been fucked over, left for dead, dissed and fogotten Luck ran out, they hoped that I'd be gone, stiff and rotten Y'all just piss on me, shit on me, spit on my grave (uh) Talk about me, laugh behind my back but in my face Y'all some ""well wishers,"" friendly actin, envy hidin snakes With your hands out for my money, man, how much can I take? When these streets keep callin, heard it when I was sleep That this Gay-Z and Cockafella Records wanted beef Started cockin up my weapon, slowly loadin up this ammo To explode it on a camel, and his soldiers, I can handle This for dolo and it's manuscript, just sound stupid When KRS already made an album called Blueprint First, Biggie's ya man, then you got the nerve to say that you better than Big Dick suckin lips, whyn't you let the late, great veteran live[talking] (I... will... not... lose) ""God's son"" across the belly, I prove you lost already The king is back, where my crown at? (Ill... will) Ill Will rest in peace, let's do it niggas[Chorus]Y'all niggas deal with emotions like bitches What's sad is I love you 'cause you're my brother You traded your soul for riches My child, I've watched you grow up to be famous And now I smile like a proud dad, watchin his only son that made it You seem to be only concerned with dissin women Were you abused as a child, scared to smile, they called you ugly? Well life is hard, hug me, don't reject me Or make records to disrespect me, blatent or indirectly In '88 you was gettin chased through your buildin Callin my crib and I ain't even give you my numbers All I did was gave you a style for you to run with Smilin in my face, glad to break bread with the god Wearin Jaz chains, no tecs, no cash, no cars No jail bars Jigga, no pies, no case Just Hawaiian shirts, hangin with little Chase You a fan, a phony, a fake, a pussy, a Stan I still whip your ass, you thirty-six in a karate class You Tae-bo hoe, tryna' work it out, you tryna' get brolic? Ask me if I'm tryna' kick knowledge Nah, I'm tryna' kick the shit you need to learn though That ether, that shit that make your soul burn slow Is he Dame Diddy, Dame Daddy or Dame Dummy? Oh, I get it, you Biggie and he's Puffy Rockafeller died of AIDS, that was the end of his chapter And that's the guy y'all chose to name your company after? Put it together, I rock hoes, y'all rock fellas And now y'all try to take my spot, fellas? Philly's hot rock fellas, put you in a dry spot, fellas In a pine box with nine shots from my glock, fellas Foxy got you hot 'cause you kept your face in her puss What you think, you gettin girls now 'cause of your looks? Ne-gro please You no mustache havin, with whiskers like a rat Compared to Beans you wack And your man stabbed Un and made you take the blame You ass, went from Jaz to hangin with Caine, to Herb, to Big And, Eminem murdered you on your own shit You a dick-ridin faggot, you love the attention Queens niggas run you niggas, ask Russell Simmons Ha, R-O-C get gunned up and clapped quick J.J. Evans get gunned up and clapped quick Your whole damn record label gunned up and clapped quick Sean Carter to Jay-Z, damn you on Jaz dick So little shorty's gettin gunned up and clapped quick How much of Biggie's rhymes is gon' come out your fat lips? Wanted to be on every last one of my classics You pop shit, apologize, nigga, just ask Kiss"
6,The World Is Yours Lyrics,"It's yours!Whose world is this? The world is yours, the world is yours It's mine, it's mine, it's mine Whose world is this? ""It's yours!"" It's mine, it's mine, it's mine Whose world is this? The world is yours, the world is yours It's mine, it's mine, it's mine Whose world is this?    Related             Match These Taylor Swift Songs to Her Ex-Boyfriends        Nicki Minaj Drops New Songs 'Barbie Tingz And 'Chun-Li'        Every Lyric From Cardi B's Debut Album 'Invasion of Privacy'            I sip the Dom P, watchin Gandhi til I'm charged Then writin in my book of rhymes, all the words pass the margin To hold the mic I'm throbbin, mechanical movement Understandable smooth shit that murderers move wit The thief's theme, play me at night, they won't act right The fiend of hip-hop has got me stuck like a crack pipe The mind activation, react like I'm facin time like Perry Mason with pens I'm embracin Wipe the sweat off my dome, spit the phlegm on the streets Suede Timb's on my feets, makes my cypher, complete Whether crusin in a six-cab, or Montero Jeep I can't call it, the beats make me fallin asleep I keep fallin, but never fallin six feet deep I'm out for presidents to represent me (Say what?) I'm out for presidents to represent me (Say what?) I'm out for dead presidents to represent me    Photos                                         Whose world is this? The world is yours, the world is yours It's mine, it's mine, it's mine Whose world is this? The world is yours, the world is yours It's mine, it's mine, it's mine Whose world is this? ""It's yours!"" It's mine, it's mine, it's mine Whose world is this? The world is yours, the world is yours It's mine, it's mine, it's mine Whose world is this?To my man Ill Will, God bless your life ""It's yours!"" To my peoples throughout Queens, God bless your life I trip we box up crazy bitches aimin guns in all my baby pictures Beef with housin police, release scriptures that's maybe Hitler's Yet I'm the mild, money gettin style, rollin foul The versatile, honey stickin wild, golden child Dwellin in the Rotten Apple, you get tackled Or caught by the devil's lasso, shit is a hassle There's no days, for broke days, we sell it, smoke pays While all the old folks pray, to Je-sus' soakin they sins in trays of holy water, odds against Nas are slaughter Thinkin a word best describin my life, to name my daughter My strength, my son, the star, will be my resurrection Born in correction all the wrong shit I did, he'll lead a right direction How ya livin large, a broker charge, cards are mediocre You flippin coke or playin spit spades in strip pokerIt's yours!It's mine, it's mine, it's mine Whose world is this? The world is yours, the world is yours It's mine, it's mine, it's mine Whose world is this? ""It's yours!"" It's mine, it's mine, it's mine Whose world is this? Yo, the world is yours, the world is yours It's mine, it's mine, it's mine Whose world is this? ""It's yours!"" Break it downIt's yours!I'm the young city bandit, hold myself down singlehanded For murder raps, I kick my thoughts alone, get remanded Born alone, die alone, no crew to keep my crown or throne I'm deep by sound alone, caved inside in a thousand miles from home I need a new nigga, for this black cloud to follow Cause while it's over me it's too dark to see tomorrow Trying to maintain, I flip, fill the clip to the tip Picturin my peeps, now the income make my heartbeat skip And I'm amped up, they locked the champ up, even my brain's in handcuffs Headed for Indiana stabbin women like the Phantom The crew is lampin big Willie style Check the chip toothed smile, plus I profile wild Stash through the flock wools, burnin dollars to light my stove Walk the blocks wit a bop, checkin Danes plus the games people play, bust the problems of the world todayIt's yours!It's mine, it's mine, it's mine Whose world is this? The world is yours, the world is yours It's mine, it's mine, it's mine Whose world is this? ""It's yours!"" It's mine, it's mine, it's mine Whose world is this? Yeah... the world is yours, the world is yours It's mine, it's mine, it's mine Whose world is this? ""It's yours!"" Break it downYea aight? To everybody in Queens, the foundation ""It's yours!"" The world is yours To everybody uptown, yo, the world is yours ""It's yours!"" The world is yours To everybody in Brooklyn Y'all know the world is yours ""It's yours!"" The world is yours Everbody in Mount Vernon, the world is yours ""It's yours!"" Long Island, the world is yours ""It's yours!"" Staten Island, yea the world is yours ""It's yours!"" South Bronx, the world is yours ""It's yours!"" AightIt's yours! It's yours! It's yours!..."
7,One Mic Lyrics,"One time, yeah, yeah Yo, all I need is one mic, one beat, one stage One nigga front, my face on the front pageOnly if I had one gun, one girl and one crib One God to show me how to do things his son did Pure, like a cup of virgin blood, mixed with One fifty-one, one sip'll make a nigga flip Writin' names on my hollow tips, plottin' shit Mad violence, who I'm gon' body, this hood politics Ackowledge it, leave bodies chopped up in garbages Seeds watch us, grow up and try to follow us Police watch us roll up and try knockin' us One knee I ducked, could it be my time is up But my luck, I got up, the cop shot again Bus stop glass bursts, a fiend drops his Heineken Richochetin' between the spots that I'm hidin' in Blackin' out as I shoot back, fuck gettin' hit This is my hood I'ma rep, to the death of it 'Til everybody come home, little niggas is grown Hoodrats, don't abortion your womb, we need more warriors soon Sip from the star, sun and the moon In this life of police chases, street sweepers and coppers Stick-up kids with no conscience, leavin' victims with doctors If you really think you ready to die, with nines out This is what nas is 'bout, nigga the time is now Yo, all I need is one mic   Related             Can You Guess The Song By The Emojis?        Nicki Minaj Drops New Songs 'Barbie Tingz And 'Chun-Li'        Every Lyric From Cardi B's Debut Album 'Invasion of Privacy'            All I need is one mic, that's all I needAll I need is one mic, all I need niggas All I need is one mic, yeah All I need is one blunt, one page and one pen One prayer, tell God, forgive for one sin Matter fact maybe more than one, look backAt all the hatred against me, fuck all of them Jesus died at age thirty-three, there's thirty-three shotsFrom twin Glocks there's sixteen a piece, that's thirty-two Which means, one of my guns was holdin seventeen Twenty-seven hit your crew, six went into you Everybody gotta die sometime, hope your funeral Never gets shot up, bullets tear through the innocent Nothin' is fair, niggas roll up, shooting from wheelchairs My heart is racin', tastin' revenge in the air I let this shit slide for too many years, too many times Now I'm strapped with a couple of Macs, too many nines If y'all niggas really wit me get busy, load up the semis Do more than just hold it, explode the clip until you empty There's nothin' in our way, they bust, we bust, they rust, we rust lead flyin', feel it? I feel it in my gut That we take these bitches to war, lie 'em down 'Cause we stronger now, my nigga the time is now All I need is one mic, that's all I need, that's all I need All I need is one mic, there's nuttin else in the world All I need is one mic, that's all a nigga need to do his thing, y'know All I need is one mic All I need is one life, one try, one breath, I'm one man What I stand for speaks for itself, they don't understand Or wanna see me on top, too egotistical    Photos                                         Talkin' all that slick shit, the same way these bitches do Wonder what my secrets is, niggas'Ill move on you Only if they know, what your weakness is, I have noneToo late to grab guns I'm blustin 'cause I'm a cool nigga Thought I wouldn't have that ass done? Fooled you niggas What you call a infinite brawl, eternal souls clashinWar gets deep, some beef is everlastin' Complete with thick scars, brothers knifing each other Up in prison yards, drama, where does it start? You know the block was ill as a youngsterEvery night it was like a, cop would get killed Body found in the dumpster For real a hustler, purchased my Range, niggas throwin' dirt on my name Jealous 'cause fiends got they work and complain bitches left me 'cause they thought I was finished Shoulda knew she wasn't true, she came to me When her man caught a sentence Diamonds are blindin', I never make the same mistakes Movin' with a change of pace, lighter load, see now, the king is straight Swellin' my melon 'cause none of these niggas real Heard he was, tellin' police, how can a kingpin squeal? This is crazy, I'm on the right track, I'm finally found You need some soul searchin', the time is now All I need is one mic, yeah, yeah, yeah, yeah All I need is one mic, that's all I ever needed in this world, fuck cash All I need is one mic, fuck the cars, the jewelry All I need is one mic to spread my voice to the whole world, baby"
